courses_id,student_id,semester,grade,course_name,credits,departments_id,student_name,student_major,student_email,department_name,dep_building
114,3223,Fall 2023,F,Advanced Medicine and Biomedical Research,2,16,Brittany Porter,History,julie97@example.net,Medicine and Biomedical Research,Brenda Prairie
113,1392,Spring 2024,D,Ethics and Pharmacy and Pharmaceutical Sciences,3,19,Sarah Gillespie,Physics,cjennings@example.org,Psychology and Behavioral Sciences,Andrade Center
123,3083,Fall 2023,B,Advanced Philosophy and Ethics,4,7,Shawn Best,Physics,vmooney@example.org,Philosophy and Ethics,Olsen Flats
101,1255,Fall 2023,B,Theories in Mechanical and Aerospace Engineering,2,6,Selena Kim MD,CS,kathleenmckinney@example.net,History and Cultural Studies,Brittany Corners
98,4511,Spring 2024,D,Ethics and Entrepreneurship and Innovation,3,16,Ian Hamilton,History,thomasbowers@example.com,Medicine and Biomedical Research,Brenda Prairie
83,2861,Spring 2024,B,Theories in Sociology and Anthropology,2,9,Mark Edwards,Math,caitlin99@example.com,Sociology and Anthropology,Cynthia Square
200,725,Fall 2023,B,Research in Mechanical and Aerospace Engineering,2,5,Ashley Merritt,History,scott77@example.org,Mechanical and Aerospace Engineering,Malone Turnpike
199,146,Fall 2023,D,Experimental Medicine and Biomedical Research,2,16,Michael Pena,History,megancase@example.org,Medicine and Biomedical Research,Brenda Prairie
187,4967,Spring 2024,A,Strategies in Linguistics and Modern Languages,2,10,Linda White,CS,phillipsvalerie@example.com,Linguistics and Modern Languages,Dana Cove
147,240,Spring 2024,C,Policy and Nursing and Public Health,3,17,Sarah Jones,CS,nicholasvincent@example.org,Nursing and Public Health,Campos Squares
117,2333,Fall 2023,F,Policy and Chemistry and Materials Science,3,4,Kelly Stewart,Math,griffincynthia@example.net,Computer Science and Artificial Intelligence,Bowman Burg
110,1360,Spring 2024,A,History of Economics and Policy Studies,2,14,Sylvia Perry,History,amy44@example.com,Economics and Policy Studies,Burns Spur
115,2145,Fall 2023,F,Theories in Economics and Policy Studies,3,14,John Osborn,CS,brendamacias@example.org,Economics and Policy Studies,Burns Spur
180,608,Fall 2023,D,Classical Philosophy and Ethics,3,7,Melinda Anthony,Math,douglas19@example.net,Philosophy and Ethics,Olsen Flats
74,2381,Fall 2023,D,Contemporary Issues in Chemistry and Materials Science,4,4,Daniel Williams,Math,stewartamy@example.com,Computer Science and Artificial Intelligence,Bowman Burg
32,2621,Fall 2023,D,Policy and Computer Science and Artificial Intelligence,4,5,Stacy Martin,Physics,lcordova@example.org,Mechanical and Aerospace Engineering,Malone Turnpike
19,4516,Fall 2023,D,History of Biological Sciences,1,2,Timothy Ryan,CS,anthonyblackwell@example.net,Biological Sciences,Ramos Hills
170,4636,Spring 2024,F,Theories in Chemistry and Materials Science,2,3,Larry Hamilton,History,josephward@example.org,Chemistry and Materials Science,Robbins Common
58,739,Fall 2023,B,Research in Chemistry and Materials Science,2,3,Travis Mccullough,History,nicolemeyer@example.com,Chemistry and Materials Science,Robbins Common
115,3823,Spring 2024,F,Theories in Economics and Policy Studies,3,14,Victoria Mayer,Physics,gregorynicholas@example.org,Economics and Policy Studies,Burns Spur
9,4462,Fall 2023,F,Fundamentals of Chemistry and Materials Science,2,4,Kristy Martinez,Math,samantha65@example.net,Computer Science and Artificial Intelligence,Bowman Burg
95,4148,Spring 2024,A,Classical Philosophy and Ethics,4,8,Chelsea Freeman,Math,lopezbarbara@example.org,Political Science and International Relations,Brown Mission
115,3180,Fall 2023,C,Theories in Economics and Policy Studies,3,14,Kelsey Coleman,CS,fwiley@example.org,Economics and Policy Studies,Burns Spur
48,1319,Spring 2024,B,Classical Physics and Astronomy,3,1,Robin Frye,Math,bwilliams@example.org,Physics and Astronomy,Henderson Path
187,3885,Fall 2023,B,Strategies in Linguistics and Modern Languages,2,10,Michael Marks Jr.,CS,cohenmadison@example.org,Linguistics and Modern Languages,Dana Cove
198,4979,Fall 2023,D,Advanced Philosophy and Ethics,4,7,Cameron Harrison,History,greed@example.net,Philosophy and Ethics,Olsen Flats
113,3106,Spring 2024,B,Ethics and Pharmacy and Pharmaceutical Sciences,3,19,Erica Wallace,CS,christopher01@example.net,Psychology and Behavioral Sciences,Andrade Center
79,751,Fall 2023,D,Modern Sociology and Anthropology,1,10,Gail Hardy,Physics,ahall@example.com,Linguistics and Modern Languages,Dana Cove
167,4288,Fall 2023,C,Classical History and Cultural Studies,3,6,Katherine Garcia DDS,CS,amartin@example.com,History and Cultural Studies,Brittany Corners
38,4225,Spring 2024,F,Ethics and Medicine and Biomedical Research,4,17,Kerry Bell,CS,christinecampbell@example.org,Nursing and Public Health,Campos Squares
144,2676,Spring 2024,D,Classical Psychology and Behavioral Sciences,4,20,Kristen Mitchell,Physics,cwest@example.net,Environmental and Sustainability Studies,Brittany Mission
48,725,Fall 2023,F,Classical Physics and Astronomy,3,1,Ashley Merritt,History,scott77@example.org,Physics and Astronomy,Henderson Path
14,977,Fall 2023,D,Advanced History and Cultural Studies,3,7,Cassandra Graham,Math,andrewlang@example.org,Philosophy and Ethics,Olsen Flats
155,1696,Spring 2024,A,Research in Environmental and Sustainability Studies,2,20,Kyle Garcia,Physics,denise31@example.org,Environmental and Sustainability Studies,Brittany Mission
42,1256,Spring 2024,F,Contemporary Issues in Sociology and Anthropology,4,10,Joshua Baker,History,mary68@example.net,Linguistics and Modern Languages,Dana Cove
75,4590,Fall 2023,A,Research in Computer Science and Artificial Intelligence,4,5,Richard Adams,History,orobertson@example.com,Mechanical and Aerospace Engineering,Malone Turnpike
166,2111,Spring 2024,F,Policy and Chemistry and Materials Science,2,3,Angela Dunn,Physics,michael92@example.net,Chemistry and Materials Science,Robbins Common
27,3495,Fall 2023,F,Modern Mechanical and Aerospace Engineering,3,6,Jason Cline,History,ncampbell@example.org,History and Cultural Studies,Brittany Corners
46,2974,Fall 2023,B,Applications of Entrepreneurship and Innovation,1,16,Philip Harris,Physics,tamara19@example.org,Medicine and Biomedical Research,Brenda Prairie
83,1785,Spring 2024,F,Theories in Sociology and Anthropology,2,9,Todd Luna,Physics,apotts@example.org,Sociology and Anthropology,Cynthia Square
177,1500,Spring 2024,C,Introduction to Medicine and Biomedical Research,4,16,Rachel Nguyen,CS,lwhite@example.org,Medicine and Biomedical Research,Brenda Prairie
161,4567,Spring 2024,D,Strategies in Medicine and Biomedical Research,1,16,James Padilla,History,armstrongthomas@example.net,Medicine and Biomedical Research,Brenda Prairie
74,2148,Fall 2023,B,Contemporary Issues in Chemistry and Materials Science,4,4,Christopher Trujillo,Math,christopherwilliams@example.org,Computer Science and Artificial Intelligence,Bowman Burg
67,4697,Spring 2024,D,Perspectives on Nursing and Public Health,3,17,Steven Williams,CS,trevorhill@example.com,Nursing and Public Health,Campos Squares
163,3461,Fall 2023,C,Case Studies in Biological Sciences,3,2,Nicholas Li,CS,candacethompson@example.net,Biological Sciences,Ramos Hills
162,430,Spring 2024,C,Experimental Psychology and Behavioral Sciences,2,19,John Sanchez,History,nlyons@example.net,Psychology and Behavioral Sciences,Andrade Center
148,4894,Spring 2024,B,Introduction to History and Cultural Studies,2,6,Jack Steele,History,rschultz@example.org,History and Cultural Studies,Brittany Corners
30,3951,Fall 2023,D,Policy and Psychology and Behavioral Sciences,4,20,Eric Byrd,History,biancayang@example.com,Environmental and Sustainability Studies,Brittany Mission
146,3817,Spring 2024,C,Ethics and Nursing and Public Health,2,17,Misty Cummings,History,sandra67@example.com,Nursing and Public Health,Campos Squares
15,2250,Fall 2023,D,Advanced Sociology and Anthropology,1,10,James Hernandez,Math,davidduncan@example.com,Linguistics and Modern Languages,Dana Cove
20,4135,Spring 2024,C,Introduction to Chemistry and Materials Science,2,4,Christina Case,History,ariasanthony@example.org,Computer Science and Artificial Intelligence,Bowman Burg
54,307,Spring 2024,C,Strategies in Computer Science and Artificial Intelligence,3,5,Edward Garcia,Physics,asmith@example.com,Mechanical and Aerospace Engineering,Malone Turnpike
108,3333,Fall 2023,C,History of Sociology and Anthropology,4,10,Erin Chapman,History,blakebruce@example.org,Linguistics and Modern Languages,Dana Cove
147,2716,Fall 2023,F,Policy and Nursing and Public Health,3,17,Tracy Williams,Physics,gyang@example.net,Nursing and Public Health,Campos Squares
41,3222,Fall 2023,D,History of Entrepreneurship and Innovation,3,16,Amanda Chang,Math,kimberlyhobbs@example.org,Medicine and Biomedical Research,Brenda Prairie
48,3666,Spring 2024,D,Classical Physics and Astronomy,3,1,Megan Sanchez,CS,lynchterri@example.net,Physics and Astronomy,Henderson Path
169,1928,Fall 2023,B,Strategies in Pharmacy and Pharmaceutical Sciences,1,18,James Rich,Physics,bishopmorgan@example.net,Pharmacy and Pharmaceutical Sciences,Bradford Ferry
16,2597,Fall 2023,C,Case Studies in Finance and Investment Studies,2,13,Tammie Ellis,CS,stephanie61@example.com,Marketing and Digital Strategy,Robinson Island
3,1215,Spring 2024,F,Perspectives on Finance and Investment Studies,1,13,Kristopher Johnson,Physics,sscott@example.org,Marketing and Digital Strategy,Robinson Island
160,3362,Fall 2023,D,Fundamentals of Political Science and International Relations,3,8,Maria Joseph,Math,ajones@example.org,Political Science and International Relations,Brown Mission
177,4895,Spring 2024,C,Introduction to Medicine and Biomedical Research,4,16,James Huang,CS,ayang@example.net,Medicine and Biomedical Research,Brenda Prairie
143,2344,Spring 2024,F,Strategies in Marketing and Digital Strategy,2,13,David Myers,Math,toddcollins@example.com,Marketing and Digital Strategy,Robinson Island
172,756,Fall 2023,F,Fundamentals of Psychology and Behavioral Sciences,2,19,John Thomas,Math,devin45@example.org,Psychology and Behavioral Sciences,Andrade Center
97,2417,Fall 2023,B,Principles of Sociology and Anthropology,1,10,Ashley Schmidt,Math,alexa14@example.org,Linguistics and Modern Languages,Dana Cove
132,3451,Fall 2023,C,Principles of Marketing and Digital Strategy,4,13,Kimberly Monroe DDS,Math,ashleybryant@example.com,Marketing and Digital Strategy,Robinson Island
60,2331,Fall 2023,C,Advanced Computer Science and Artificial Intelligence,4,5,Michelle Allen,Math,turnerlynn@example.org,Mechanical and Aerospace Engineering,Malone Turnpike
80,4123,Fall 2023,C,Policy and Marketing and Digital Strategy,4,13,Lisa Vang,Physics,kristinagoodman@example.net,Marketing and Digital Strategy,Robinson Island
7,950,Fall 2023,F,Innovations in Political Science and International Relations,3,9,Annette Gentry,Physics,harveygregory@example.net,Sociology and Anthropology,Cynthia Square
140,582,Fall 2023,B,Perspectives on Linguistics and Modern Languages,3,10,Brian Bryant,Physics,wilsonjeffrey@example.org,Linguistics and Modern Languages,Dana Cove
160,3699,Fall 2023,B,Fundamentals of Political Science and International Relations,3,8,James Griffin,Physics,eharrison@example.com,Political Science and International Relations,Brown Mission
138,3235,Spring 2024,A,Experimental Physics and Astronomy,3,1,Abigail Rodriguez,History,chelsea08@example.com,Physics and Astronomy,Henderson Path
71,81,Fall 2023,A,Policy and Linguistics and Modern Languages,1,11,Catherine Garza,Physics,upatterson@example.com,Business Administration and Management,Page Center
67,1340,Spring 2024,F,Perspectives on Nursing and Public Health,3,17,Gabrielle Hall,History,christina51@example.net,Nursing and Public Health,Campos Squares
98,4580,Fall 2023,B,Ethics and Entrepreneurship and Innovation,3,16,Kevin Holt,Math,xrose@example.net,Medicine and Biomedical Research,Brenda Prairie
186,2403,Spring 2024,D,Fundamentals of Pharmacy and Pharmaceutical Sciences,2,18,Patricia Kane,CS,jacquelinewalters@example.org,Pharmacy and Pharmaceutical Sciences,Bradford Ferry
98,4096,Fall 2023,F,Ethics and Entrepreneurship and Innovation,3,16,Mark Griffith,Math,ecampbell@example.net,Medicine and Biomedical Research,Brenda Prairie
12,4361,Spring 2024,A,Methods in History and Cultural Studies,2,7,Sandra Phillips,CS,kevinpeterson@example.org,Philosophy and Ethics,Olsen Flats
123,3428,Fall 2023,B,Advanced Philosophy and Ethics,4,7,Christopher Ward,CS,ukelley@example.net,Philosophy and Ethics,Olsen Flats
9,2315,Fall 2023,F,Fundamentals of Chemistry and Materials Science,2,4,Paul Rowland,Math,campbellsteven@example.org,Computer Science and Artificial Intelligence,Bowman Burg
125,2523,Fall 2023,A,Advanced Entrepreneurship and Innovation,4,15,Johnny Lopez,CS,mcgeedaniel@example.org,Entrepreneurship and Innovation,David Dale
21,3885,Spring 2024,F,Policy and Linguistics and Modern Languages,1,11,Michael Marks Jr.,CS,cohenmadison@example.org,Business Administration and Management,Page Center
28,948,Fall 2023,B,Perspectives on Philosophy and Ethics,2,8,John Williams,Math,ybennett@example.net,Political Science and International Relations,Brown Mission
28,2212,Spring 2024,D,Perspectives on Philosophy and Ethics,2,8,Robin Romero,CS,imann@example.com,Political Science and International Relations,Brown Mission
19,1112,Spring 2024,D,History of Biological Sciences,1,2,William Shepard,History,cynthia20@example.net,Biological Sciences,Ramos Hills
49,4534,Fall 2023,A,Contemporary Issues in Biological Sciences,2,3,Michael Mckenzie,CS,elizabeth19@example.com,Chemistry and Materials Science,Robbins Common
168,1982,Fall 2023,D,Methods in Medicine and Biomedical Research,3,16,Jennifer Pennington,CS,matthew69@example.com,Medicine and Biomedical Research,Brenda Prairie
68,792,Spring 2024,A,History of Mechanical and Aerospace Engineering,3,6,Richard Myers,Physics,david43@example.com,History and Cultural Studies,Brittany Corners
69,1247,Fall 2023,A,Theories in Biological Sciences,1,2,Francisco Johnson,Math,karenhenry@example.org,Biological Sciences,Ramos Hills
147,2586,Fall 2023,C,Policy and Nursing and Public Health,3,17,Nicole Rodriguez,CS,nrodriguez@example.net,Nursing and Public Health,Campos Squares
182,1093,Fall 2023,B,Foundations of Linguistics and Modern Languages,1,10,Natalie Smith,Math,mary04@example.com,Linguistics and Modern Languages,Dana Cove
69,4683,Fall 2023,F,Theories in Biological Sciences,1,2,John Williams,Math,dickersoncynthia@example.org,Biological Sciences,Ramos Hills
187,2275,Spring 2024,A,Strategies in Linguistics and Modern Languages,2,10,Gary Nelson,History,kimberly65@example.com,Linguistics and Modern Languages,Dana Cove
62,2526,Fall 2023,D,Principles of Marketing and Digital Strategy,4,13,Joanne Gonzales,Physics,barryjames@example.com,Marketing and Digital Strategy,Robinson Island
73,4347,Spring 2024,D,Contemporary Issues in Economics and Policy Studies,3,15,Chelsea Carter,History,mlittle@example.org,Entrepreneurship and Innovation,David Dale
126,44,Fall 2023,D,Modern Philosophy and Ethics,2,7,Jeanette Sandoval,History,lisa71@example.net,Philosophy and Ethics,Olsen Flats
129,154,Spring 2024,C,Case Studies in Entrepreneurship and Innovation,4,15,Ian Sherman,Math,sydney65@example.com,Entrepreneurship and Innovation,David Dale
81,103,Fall 2023,D,Ethics and Computer Science and Artificial Intelligence,1,5,Joshua Matthews,CS,tjones@example.net,Mechanical and Aerospace Engineering,Malone Turnpike
16,4558,Spring 2024,D,Case Studies in Finance and Investment Studies,2,13,Jennifer Cunningham,CS,brian93@example.com,Marketing and Digital Strategy,Robinson Island
167,1057,Fall 2023,B,Classical History and Cultural Studies,3,6,Johnathan Duffy,CS,jacquelinedonovan@example.com,History and Cultural Studies,Brittany Corners
2,3849,Spring 2024,C,Case Studies in Marketing and Digital Strategy,2,14,Michelle Edwards,History,wendy10@example.com,Economics and Policy Studies,Burns Spur
199,4975,Spring 2024,B,Experimental Medicine and Biomedical Research,2,16,Jerry Holmes,History,rgrimes@example.com,Medicine and Biomedical Research,Brenda Prairie
42,3493,Spring 2024,D,Contemporary Issues in Sociology and Anthropology,4,10,Grace Kelley,History,joseph23@example.org,Linguistics and Modern Languages,Dana Cove
88,319,Fall 2023,B,Perspectives on Philosophy and Ethics,3,7,James Adams,CS,autumn92@example.org,Philosophy and Ethics,Olsen Flats
108,855,Spring 2024,B,History of Sociology and Anthropology,4,10,Lauren Hayes,Math,john33@example.org,Linguistics and Modern Languages,Dana Cove
164,2819,Spring 2024,F,Applications of Medicine and Biomedical Research,4,16,Mrs. Michelle Hampton,CS,eyang@example.com,Medicine and Biomedical Research,Brenda Prairie
102,3929,Spring 2024,F,Case Studies in Pharmacy and Pharmaceutical Sciences,2,19,Tricia Guzman,History,andersenpatrick@example.com,Psychology and Behavioral Sciences,Andrade Center
136,3044,Fall 2023,D,Contemporary Issues in Mechanical and Aerospace Engineering,1,5,Robert Hunt,Physics,monicahurley@example.net,Mechanical and Aerospace Engineering,Malone Turnpike
139,856,Spring 2024,F,Theories in Pharmacy and Pharmaceutical Sciences,4,18,Autumn Schmidt,History,zlong@example.net,Pharmacy and Pharmaceutical Sciences,Bradford Ferry
6,4469,Fall 2023,A,Methods in Economics and Policy Studies,1,14,Matthew Potts,CS,maliklutz@example.com,Economics and Policy Studies,Burns Spur
88,1741,Spring 2024,A,Perspectives on Philosophy and Ethics,3,7,Carolyn Pitts,Physics,nreyes@example.org,Philosophy and Ethics,Olsen Flats
150,1550,Spring 2024,D,Introduction to Entrepreneurship and Innovation,3,15,Heidi Williamson,Math,hward@example.org,Entrepreneurship and Innovation,David Dale
126,3465,Spring 2024,F,Modern Philosophy and Ethics,2,7,Joshua Lara,History,aaron64@example.com,Philosophy and Ethics,Olsen Flats
98,634,Fall 2023,C,Ethics and Entrepreneurship and Innovation,3,16,Robert Washington,CS,greenlisa@example.net,Medicine and Biomedical Research,Brenda Prairie
185,3878,Spring 2024,B,Applications of Marketing and Digital Strategy,4,13,Vincent Vargas,History,renee44@example.net,Marketing and Digital Strategy,Robinson Island
180,3487,Spring 2024,A,Classical Philosophy and Ethics,3,7,Alice Thompson,CS,tlowe@example.net,Philosophy and Ethics,Olsen Flats
49,1051,Fall 2023,D,Contemporary Issues in Biological Sciences,2,3,Tyler Ross,History,robert54@example.org,Chemistry and Materials Science,Robbins Common
58,2442,Spring 2024,B,Research in Chemistry and Materials Science,2,3,Nancy Delgado,CS,freemantroy@example.com,Chemistry and Materials Science,Robbins Common
64,3093,Fall 2023,C,Applications of Finance and Investment Studies,4,12,Todd Rojas,CS,manuelromero@example.net,Finance and Investment Studies,Davis Stream
73,4973,Spring 2024,F,Contemporary Issues in Economics and Policy Studies,3,15,Jeffrey Johns,Physics,maldonadoeric@example.net,Entrepreneurship and Innovation,David Dale
34,3877,Fall 2023,F,Advanced Nursing and Public Health,1,18,Katherine Becker,Math,carolanderson@example.org,Pharmacy and Pharmaceutical Sciences,Bradford Ferry
161,1178,Fall 2023,D,Strategies in Medicine and Biomedical Research,1,16,Matthew Rivera,Physics,jessica19@example.net,Medicine and Biomedical Research,Brenda Prairie
62,2377,Spring 2024,B,Principles of Marketing and Digital Strategy,4,13,Taylor Hart,History,qferrell@example.com,Marketing and Digital Strategy,Robinson Island
173,928,Fall 2023,F,Policy and Marketing and Digital Strategy,1,13,Kylie Alvarado,CS,andersonbrandy@example.com,Marketing and Digital Strategy,Robinson Island
57,3654,Fall 2023,D,Innovations in Chemistry and Materials Science,1,4,Charles Aguilar,Math,likylie@example.com,Computer Science and Artificial Intelligence,Bowman Burg
161,4671,Spring 2024,C,Strategies in Medicine and Biomedical Research,1,16,Kathryn Walker DVM,Physics,jay66@example.com,Medicine and Biomedical Research,Brenda Prairie
13,665,Fall 2023,B,Perspectives on Biological Sciences,2,3,Amanda Williams,CS,sfitzgerald@example.net,Chemistry and Materials Science,Robbins Common
19,2995,Spring 2024,B,History of Biological Sciences,1,2,Joseph Brown,Physics,gmullins@example.com,Biological Sciences,Ramos Hills
133,2740,Fall 2023,F,Case Studies in Physics and Astronomy,1,1,Samantha Lee,CS,stephaniewilliams@example.org,Physics and Astronomy,Henderson Path
31,4937,Fall 2023,C,Modern Marketing and Digital Strategy,1,13,David Perez,Math,caldwellashley@example.org,Marketing and Digital Strategy,Robinson Island
46,1113,Fall 2023,D,Applications of Entrepreneurship and Innovation,1,16,George Gonzalez,Physics,michaelbowen@example.org,Medicine and Biomedical Research,Brenda Prairie
182,1456,Spring 2024,F,Foundations of Linguistics and Modern Languages,1,10,Joyce Mooney,Math,dalelee@example.net,Linguistics and Modern Languages,Dana Cove
193,1040,Spring 2024,C,Classical Finance and Investment Studies,4,12,Kevin Williamson,History,edwinpeterson@example.org,Finance and Investment Studies,Davis Stream
43,1337,Spring 2024,B,Case Studies in Computer Science and Artificial Intelligence,3,5,Carrie Cole,Physics,natalie56@example.net,Mechanical and Aerospace Engineering,Malone Turnpike
77,3885,Fall 2023,C,Introduction to Mechanical and Aerospace Engineering,2,6,Michael Marks Jr.,CS,cohenmadison@example.org,History and Cultural Studies,Brittany Corners
197,3257,Spring 2024,A,Ethics and Political Science and International Relations,2,8,Brian Johnson,CS,susanmichael@example.org,Political Science and International Relations,Brown Mission
88,3985,Fall 2023,F,Perspectives on Philosophy and Ethics,3,7,Jerry Patterson,History,fsullivan@example.org,Philosophy and Ethics,Olsen Flats
17,221,Fall 2023,B,Experimental Physics and Astronomy,4,1,Raven Jensen,CS,stephengarcia@example.org,Physics and Astronomy,Henderson Path
65,857,Spring 2024,A,Principles of Chemistry and Materials Science,1,4,Christopher Clark,History,amy80@example.org,Computer Science and Artificial Intelligence,Bowman Burg
45,3113,Spring 2024,D,Case Studies in Chemistry and Materials Science,3,4,Jeffrey Nichols,History,campbellthomas@example.net,Computer Science and Artificial Intelligence,Bowman Burg
13,2117,Spring 2024,B,Perspectives on Biological Sciences,2,3,Shannon Cruz,History,ismith@example.org,Chemistry and Materials Science,Robbins Common
138,3167,Spring 2024,C,Experimental Physics and Astronomy,3,1,Joe Glover,History,diane18@example.net,Physics and Astronomy,Henderson Path
173,4153,Fall 2023,F,Policy and Marketing and Digital Strategy,1,13,Tara Hunter,CS,cunderwood@example.org,Marketing and Digital Strategy,Robinson Island
138,4634,Spring 2024,F,Experimental Physics and Astronomy,3,1,Brent Johnson,Math,debrafinley@example.net,Physics and Astronomy,Henderson Path
